hour,page,views
0,/download/radial-progress-source-code,9
0,/political_influence,9
0,/2013-federal-budget,8
0,/d3-mobile-web-application,8
0,/united-states-trade-deficit,4
0,/download/d3-federal-budget-source-code,2
0,/interactive/ustrade,2
0,/2015-nfl-predictions,1
0,/d3-mobile-web-application?replytocom=36,1
0,/data-visualization-open-source,1
0,/download/autocomplete-source-code,1
0,/download/key-performace-indicators,1
0,/project-list,1
1,/d3-mobile-web-application,19
1,/download/radial-progress-source-code,19
1,/2013-federal-budget,10
1,/project-list,8
1,/political_influence,6
1,/marketing-decomposition,5
1,/united-states-trade-deficit,5
1,/download/key-performace-indicators,4
1,home,4
1,/2015-nfl-predictions,3
1,/download/d3-federal-budget-source-code,3
1,/download/radial-progress-source-code?source=d3js,2
1,/data-visualization-articles,1
1,/data-visualization-open-source,1
1,/interactive/decomp,1
1,/marketing-contributions,1
1,/swell-watcher,1
2,/d3-mobile-web-application,27
2,/download/radial-progress-source-code,21
2,/political_influence,14
2,/2013-federal-budget,9
2,home,8
2,/2015-nfl-predictions,5
2,/data-visualization-open-source,4
2,/download/autocomplete-source-code,4
2,/united-states-trade-deficit,4
2,/download/d3-federal-budget-source-code,3
2,/project-list,2
2,/clients/brightpointinc.com/library/autocomplete/download.html,1
2,/clients/brightpointinc.com/library/autocomplete,1
2,/d3-mobile-web-application/www.d3js.org,1
2,/dashboard-design-executive-dashboards-part-1,1
2,/data-visualization-articles,1
2,/interactive/contribution,1
2,/interactive/ustrade,1
2,/marketing-contributions,1
2,/political_influence/scripts/political_influence.min.js,1
3,/2013-federal-budget,13
3,/d3-mobile-web-application,12
3,/download/radial-progress-source-code,7
3,/download/autocomplete-source-code,6
3,/2015-nfl-predictions,5
3,/political_influence,5
3,/download/key-performace-indicators,2
3,home,2
3,/political_influence/scripts/political_influence.js,2
3,/2013-federal-budget/data/FederalBudget_2013.csv,1
3,/download/autocomplete-source-code?source=d3js,1
3,/download/radial-progress-source-code?source=d3js,1
3,/interactive/kpi_wheel,1
3,/interactive/ustrade,1
3,/project-list,1
3,/united-states-trade-deficit,1
4,/d3-mobile-web-application,22
4,/download/radial-progress-source-code,21
4,/2013-federal-budget,9
4,/political_influence,8
4,/2015-nfl-predictions,6
4,/download/autocomplete-source-code,4
4,home,3
4,/project-list,3
4,/2013-federal-budget?source=d3js,2
4,/united-states-trade-deficit,2
4,/data-visualization-open-source,1
4,/download/d3-federal-budget-source-code,1
4,/download/key-performace-indicators,1
4,/download/radial-progress-source-code?source=d3js,1
5,/2013-federal-budget,27
5,/download/radial-progress-source-code,21
5,/d3-mobile-web-application,19
5,/political_influence,13
5,/2015-nfl-predictions,7
5,/united-states-trade-deficit,7
5,/download/d3-federal-budget-source-code,3
5,home,3
5,/project-list,3
5,/download/autocomplete-source-code,2
5,/d3-mobile-web-application?MobileVis=,1
5,/data-visualization-open-source,1
5,/download/key-performace-indicators,1
5,/interactive/sovc,1
5,/interactive/ustrade,1
5,/marketing-volume,1
6,/download/radial-progress-source-code,28
6,/d3-mobile-web-application,27
6,/political_influence,16
6,home,11
6,/2013-federal-budget,10
6,/united-states-trade-deficit,9
6,/data-visualization-open-source,7
6,/download/autocomplete-source-code,7
6,/project-list,6
6,/2015-nfl-predictions,5
6,/data-visualization-services,5
6,/download/d3-federal-budget-source-code,3
6,/download/key-performace-indicators,3
6,/data-visualization-articles,2
6,/interactive/erp,2
6,/interactive/swell,2
6,/dashboard-design-executive-dashboards-part-1,1
6,/download/radial-progress-source-code?source=d3js,1
6,/erp-mockups,1
6,/interactive/contribution,1
6,/swell-watcher,1
7,/download/radial-progress-source-code,25
7,/d3-mobile-web-application,23
7,/2013-federal-budget,16
7,/political_influence,12
7,/2015-nfl-predictions,11
7,home,8
7,/download/d3-federal-budget-source-code,7
7,/united-states-trade-deficit,5
7,/data-visualization-open-source,4
7,/download/autocomplete-source-code,3
7,/download/key-performace-indicators,2
7,/interactive/ustrade,2
7,/interactive/ustrade?source=d3js,2
7,/project-list,2
7,/dashboard-design-executive-dashboards-part-1,1
7,/data-visualization-articles,1
7,/data-visualization-services,1
7,/data/Candidates_House.csv,1
7,/download/radial-progress-source-code?source=d3js,1
7,/labs/data/Candidates_House.csv,1
8,/download/radial-progress-source-code,23
8,/d3-mobile-web-application,21
8,/project-list,9
8,/2013-federal-budget,8
8,/political_influence,8
8,home,6
8,/united-states-trade-deficit,6
8,/2015-nfl-predictions,5
8,/download/key-performace-indicators,3
8,/data-visualization-services,2
8,/download/autocomplete-source-code,2
8,/download/d3-federal-budget-source-code,2
8,/2013-federal-budget?source=d3js,1
8,/d3-mobile-web-application/www.d3js.org,1
8,/interactive/decomp,1
8,/marketing-decomposition,1
8,/political_influence?source=d3js,1
9,/download/radial-progress-source-code,23
9,/d3-mobile-web-application,12
9,/political_influence,11
9,/2015-nfl-predictions,7
9,/2013-federal-budget,5
9,/download/autocomplete-source-code,5
9,home,4
9,/project-list,4
9,/united-states-trade-deficit,3
9,/data-visualization-articles,2
9,/data-visualization-open-source,2
9,/download/d3-federal-budget-source-code,2
9,/interactive/erp,2
9,/download/autocomplete-source-code?source=d3js,1
9,/erp-mockups,1
9,/interactive/contribution,1
10,/download/radial-progress-source-code,11
10,/d3-mobile-web-application,10
10,home,6
10,/2015-nfl-predictions,5
10,/data-visualization-open-source,4
10,/download/key-performace-indicators,4
10,/political_influence,4
10,/project-list,4
10,/2013-federal-budget,2
10,/2013-federal-budget?source=d3js,2
10,/download/d3-federal-budget-source-code,2
10,/erp-mockups,2
10,/united-states-trade-deficit,2
10,/dashboard-design-executive-dashboards-part-1,1
10,/data-visualization-articles,1
10,/download/autocomplete-source-code,1
10,/interactive/contribution,1
