PARK,BOROUGH,SIZE (ACRES),CATEGORY,Murder,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
PELHAM BAY PARK,BRONX        ,2771.747,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VAN CORTLANDT PARK,BRONX        ,1146.430,ONE ACRE OR LARGER,0,0,0,1,0,2,0,3
ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.564,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESHKILLS PARK,STATEN ISLAND,913.320,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.690,ONE ACRE OR LARGER,0,0,0,2,2,8,0,12
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.970,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARINE PARK,BROOKLYN     ,798.000,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.430,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
BRONX PARK,BRONX        ,718.373,ONE ACRE OR LARGER,0,1,0,0,0,0,0,1
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.350,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY POND PARK,QUEENS       ,635.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PROSPECT PARK,BROOKLYN     ,526.250,ONE ACRE OR LARGER,0,0,0,0,0,4,0,4
FOREST PARK,QUEENS       ,506.860,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRAND CENTRAL PARKWAY,QUEENS       ,460.160,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FERRY POINT PARK,BRONX        ,413.800,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.203,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
CUNNINGHAM PARK,QUEENS       ,358.000,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
RICHMOND PARKWAY,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROSS ISLAND PARKWAY,QUEENS       ,326.895,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREAT KILLS PARK,STATEN ISLAND,315.094,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WOLFE'S POND PARK,STATEN ISLAND,302.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RANDALL'S ISLAND PARK,MANHATTAN    ,256.111,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROCKAWAY COMMUNITY PARK,QUEENS       ,255.400,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KISSENA PARK,QUEENS       ,237.147,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RIVERSIDE PARK,MANHATTAN    ,235.765,ONE ACRE OR LARGER,0,0,6,1,2,8,0,17
HUTCHINSON RIVER PARKWAY,BRONX        ,229.140,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BLUE HERON PARK,STATEN ISLAND,217.450,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DYKER BEACH PARK,BROOKLYN     ,216.655,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLOWBROOK PARK,STATEN ISLAND,214.947,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SILVER LAKE PARK,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
